time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.010000,0.00841383790279,-0.550830598266,-0.00341250283361,0.757110877948,-0.00145715938879,1.25659544565,-0.00507345911561
0.020000,0.00841531085102,-0.551137820282,-0.00341247522199,0.757264928944,-0.00145714354845,1.25644168801,-0.0047660121718
0.030000,0.00842071255138,-0.551295220589,-0.00341230187904,0.757648861028,-0.00160895299353,1.25621046803,-0.00475940753125
0.040000,0.00812819440814,-0.551147399508,-0.00356401464043,0.757581759251,-0.0016867139531,1.25650927231,-0.0049826024768
0.050000,0.00784000379416,-0.551286980563,-0.00394486404031,0.757284667875,-0.00146383851698,1.25696811744,-0.00461583799531
0.060000,0.00793755273619,-0.55098670511,-0.00388033144775,0.75750712941,-0.00115680540224,1.25667975833,-0.00535220969054
0.070000,0.00806237715391,-0.551344364925,-0.00342805014323,0.757674776133,-0.00099987421886,1.25682104219,-0.00567187617146
0.080000,0.00857100222059,-0.551118152184,-0.00325287925894,0.757763982681,-0.00143832483995,1.2572571071,-0.00530562630289
0.090000,0.00866635532281,-0.550880829559,-0.00317133046292,0.757558411264,-0.00130452559228,1.25659736669,-0.00490832423449
0.100000,0.0089137073168,-0.551385419021,-0.00339066428171,0.757722245724,-0.00122541845648,1.25641939353,-0.00511767734268
0.110000,0.00895821903755,-0.551160150373,-0.0035442016592,0.757673053326,-0.00144745958811,1.25603032266,-0.00548794686527
0.120000,0.00849609194629,-0.551130528696,-0.00361662121866,0.757250147843,-0.00145553811929,1.25593367181,-0.00504311586634
0.130000,0.00871597055819,-0.551105539911,-0.00353908409418,0.757417135215,-0.00145511113014,1.25599262316,-0.0048628526437
0.140000,0.00935744792328,-0.55107646889,-0.00375202203875,0.757834880207,-0.00145462731885,1.25605847439,-0.00446865963032
0.150000,0.00959340469595,-0.55134365704,-0.00360100768585,0.7579659726,-0.00145408397848,1.25664305567,-0.00436447704594
0.160000,0.00969111827775,-0.551614364952,-0.0033609488542,0.757645899522,-0.00145347852522,1.25657506967,-0.00471499508206
0.170000,0.0100382549467,-0.551361834893,-0.00348816490989,0.757462357755,-0.00160182775645,1.25655422457,-0.00493268637242
0.180000,0.0104969839959,-0.551303393638,-0.00340520513109,0.757513293898,-0.00153165115081,1.25645211171,-0.00491976603445
0.190000,0.0104061212126,-0.55125024454,-0.00309256697816,0.757581261537,-0.00138127105444,1.25561563284,-0.00504189950853
0.200000,0.0106126559829,-0.551191659014,-0.00357728989302,0.758100282493,-0.00151737542088,1.25613571696,-0.0050934305535
0.210000,0.0110929521026,-0.551274927772,-0.00373353212494,0.758571472621,-0.00108602912513,1.25665582944,-0.00469953568251
0.220000,0.0118375999277,-0.551135786007,-0.00328375459873,0.757946191685,-0.00120768824259,1.25649882119,-0.00442481697329
0.230000,0.0119769675362,-0.550468817308,-0.00308650100601,0.758002054293,-0.00158308211413,1.25557861039,-0.00467041822339
0.240000,0.0127020126295,-0.550280072662,-0.00312757989297,0.758619425562,-0.00167621570949,1.25636936549,-0.00479476646064
0.250000,0.0137897562203,-0.550406035903,-0.00369198903894,0.758394850663,-0.0013128214362,1.25695400395,-0.00447147672365
0.260000,0.0140694800771,-0.5504738758,-0.0037778208275,0.75856420496,-0.00106767810165,1.25601223652,-0.00432870715353
0.270000,0.0146240428715,-0.550600051306,-0.00368135271987,0.759280146349,-0.00134609639379,1.25583421011,-0.00427792892203
0.280000,0.0153804940397,-0.550801786359,-0.00356819618801,0.759377704605,-0.00165194412839,1.25578821362,-0.00458377744103
0.290000,0.0160483034556,-0.551288596092,-0.0030949713554,0.759081134465,-0.001452825417,1.25609783605,-0.00441062038018
0.300000,0.0168961322895,-0.550557369091,-0.00288911403169,0.759494274386,-0.00129344727095,1.25562984151,-0.004635290056
0.310000,0.0173628837663,-0.549524574435,-0.0027723788438,0.759962150846,-0.00135718787676,1.25568586056,-0.00423355641847
0.320000,0.0178372906567,-0.549807806032,-0.00294199775811,0.759943290725,-0.00164307365962,1.25570456884,-0.00392238188161
0.330000,0.0185069210938,-0.549340919754,-0.00277328500638,0.759816866523,-0.0014458408717,1.25542877638,-0.00398232166897
0.340000,0.0195972484173,-0.54938257186,-0.00264857146574,0.759696239844,-0.00128547033673,1.25534728838,-0.0041370408005
0.350000,0.0206844548624,-0.549739333002,-0.00281211052966,0.759937452102,-0.00134884414781,1.25556838486,-0.00393405775307
0.360000,0.0218192337362,-0.549402195222,-0.00292864842678,0.760079999704,-0.00163761946252,1.25536975606,-0.00377284602168
0.370000,0.0236476510015,-0.548922668989,-0.00310626196702,0.760506026219,-0.00158606911303,1.25528846232,-0.0039009293791
0.380000,0.0251414270615,-0.548433295528,-0.00278326256244,0.760604042771,-0.00164739128619,1.25591617016,-0.00368810753569
0.390000,0.0258606746185,-0.548436346621,-0.00227668237505,0.760755118605,-0.00129234253699,1.25503043472,-0.00337198892546
0.400000,0.0269255446823,-0.548257707453,-0.00233006021202,0.761207220089,-0.00119021548921,1.25472814736,-0.00326131708192
0.410000,0.0284901011186,-0.548483416798,-0.00249874894006,0.76162376184,-0.00125057166528,1.2548407383,-0.00316468167664
0.420000,0.0296466221823,-0.548804854046,-0.00231381051276,0.761968329037,-0.00118506826968,1.25526072852,-0.00320851778316
0.430000,0.0311635138144,-0.548418860684,-0.00216869878152,0.762177726137,-0.00124523744414,1.25513984908,-0.0034739714686
0.440000,0.0329749051427,-0.548172104347,-0.00245365270622,0.762666743443,-0.00146189144962,1.25467647991,-0.00332649519631
